"Project";"Task";"Date";"Start";"End";"Duration";"Comment"
"project1";"task1";"2008-07-09";"2008-07-09 13:58:28";"2008-07-09 14:29:10";"00:30:41";""
"project1";"task1";"2008-07-09";"2008-07-09 15:08:14";"2008-07-09 16:24:58";"01:16:44";""
"project1";"task1";"2008-07-09";"2008-07-09 16:34:37";"2008-07-09 16:59:02";"00:24:24";""
"project1";"task2";"2008-07-18";"2008-07-18 14:44:32";"2008-07-18 15:23:47";"00:39:15";""
"project1";"task3";"2008-07-24";"2008-07-24 09:02:25";"2008-07-24 09:50:48";"00:48:23";""
"project1";"task3";"2008-07-24";"2008-07-24 10:13:02";"2008-07-24 10:48:05";"00:35:03";""
"project1";"task4";"2008-07-28";"2008-07-28 11:56:39";"2008-07-28 12:39:51";"00:43:12";""
"project2";"task1";"2008-07-25";"2008-07-25 13:26:38";"2008-07-25 13:46:17";"00:19:39";""
"project2";"task1";"2008-07-25";"2008-07-25 13:53:03";"2008-07-25 14:18:54";"00:25:51";""
"project3";"task1";"2008-08-25";"2008-07-25 13:53:03";"2008-07-25 14:18:54";"00:25:51";""
"project4";"task1";"2007-07-25";"2008-07-25 13:53:03";"2008-07-25 14:18:54";"00:25:51";""
